,trial,cond,start_time,end_time,key,id,reaction_time
0,women,none,2.715994052006863,3.7680220160400495,m,P_165752,1.0520279640331864
1,goont,none,5.2816773239756,6.2720628150273114,z,P_165752,0.9903854910517111
2,recht,HF,7.786453761975281,8.504234815016389,m,P_165752,0.717781053041108
3,slont,none,10.018324575037695,10.767570010968484,z,P_165752,0.7492454359307885
4,giep,none,12.280972670996562,12.919526649056934,m,P_165752,0.6385539780603722
5,brum,none,14.4317859869916,15.159372305963188,z,P_165752,0.7275863189715892
6,labber,none,16.67214907403104,17.37115956400521,z,P_165752,0.6990104899741709
7,plan,HF,18.88515508803539,19.503246471984312,m,P_165752,0.6180913839489222
8,ponten,LF,21.016644072020426,21.70405313896481,z,P_165752,0.6874090669443831
9,imams,LF,23.21853147505317,23.855498207965866,m,P_165752,0.6369667329126969
10,jugen,none,25.36940038506873,26.01550021499861,z,P_165752,0.6460998299298808
11,boek,HF,27.52779967302922,28.095664166030474,m,P_165752,0.5678644930012524
12,buidels,LF,29.608214338077232,30.247373298974708,z,P_165752,0.6391589608974755
13,baby,HF,31.760937393992208,32.335657011019066,m,P_165752,0.574719617026858
14,geslonden,none,33.847859126050025,34.43165667599533,z,P_165752,0.5837975499453023
15,hese,LF,35.9454479200067,36.54422396002337,z,P_165752,0.5987760400166735
16,millag,none,38.06155028601643,38.552478192024864,m,P_165752,0.4909279060084373
17,hield,HF,40.06623583904002,40.99955393397249,m,P_165752,0.9333180949324742
18,gals,none,42.51399119198322,43.07170583400875,m,P_165752,0.5577146420255303
19,polders,LF,44.585127166006714,45.071524669998325,z,P_165752,0.4863975039916113
