,trial,cond,start_time,end_time,key,id,reaction_time
0,recht,HF,2.718182364013046,3.8382997749140486,z,P_165435,1.1201174109010026
1,gals,none,5.35265651892405,6.295808573020622,m,P_165435,0.9431520540965721
2,slont,none,7.810418464941904,8.713127112947404,m,P_165435,0.9027086480055004
3,baby,HF,10.226432314957492,10.97398448199965,z,P_165435,0.7475521670421585
4,boek,HF,12.48662727791816,13.21396309894044,z,P_165435,0.7273358210222796
5,imams,LF,14.726606094976887,15.430360959959216,m,P_165435,0.7037548649823293
6,goont,none,16.94331866595894,17.694142443011515,m,P_165435,0.7508237770525739
7,plan,HF,19.207659745938145,19.846547315944918,z,P_165435,0.6388875700067729
8,women,none,21.35949007095769,22.022060912917368,z,P_165435,0.6625708419596776
9,buidels,LF,23.540103517007083,24.230132174910977,m,P_165435,0.6900286579038948
10,hield,HF,25.74296471499838,26.511446845019236,m,P_165435,0.7684821300208569
11,polders,LF,28.025344191933982,28.688923184992746,z,P_165435,0.6635789930587634
12,ponten,LF,30.202228317968547,31.08153337496333,z,P_165435,0.8793050569947809
13,geslonden,none,32.595859306980856,33.34478662896436,m,P_165435,0.7489273219835013
14,giep,none,34.859373690909706,35.646302182925865,m,P_165435,0.786928492016159
15,labber,none,37.16037293197587,37.92638941796031,z,P_165435,0.7660164859844372
16,jugen,none,39.440159964957274,40.25462064391468,z,P_165435,0.8144606789574027
17,hese,LF,41.76801685302053,42.63833836396225,z,P_165435,0.8703215109417215
18,brum,none,44.15166838094592,44.79829934495501,m,P_165435,0.6466309640090913
19,millag,none,46.311550371930934,46.92595388297923,m,P_165435,0.6144035110482946
