,trial,cond,start_time,end_time,key,id,reaction_time
0,plan,HF,2.7328035060781986,3.6688179440097883,m,P_165618,0.9360144379315898
1,imams,LF,5.1823512790724635,5.936878261039965,z,P_165618,0.7545269819675013
2,hese,LF,7.450600777985528,8.209015241009183,m,P_165618,0.7584144630236551
3,polders,LF,9.722794422064908,10.497126576025039,z,P_165618,0.7743321539601311
4,brum,none,12.010234369081445,12.747876067995094,z,P_165618,0.7376416989136487
5,ponten,LF,14.264083980000578,15.05640477698762,m,P_165618,0.7923207969870418
6,geslonden,none,16.569832239067182,17.352689148043282,m,P_165618,0.7828569089761004
7,gals,none,18.865735794068314,19.553098044008948,m,P_165618,0.6873622499406338
8,recht,HF,21.06689565605484,21.78523167304229,m,P_165618,0.7183360169874504
9,buidels,LF,23.29940732603427,24.00870710599702,z,P_165618,0.7092997799627483
10,hield,HF,25.522278680000454,26.368387083988637,z,P_165618,0.8461084039881825
11,baby,HF,27.882380953989923,28.61645331606269,m,P_165618,0.7340723620727658
12,slont,none,30.130718745058402,30.95257614797447,z,P_165618,0.8218574029160663
13,giep,none,32.465605362085626,33.19258000398986,m,P_165618,0.7269746419042349
14,jugen,none,34.70592578803189,35.56050870800391,z,P_165618,0.8545829199720174
15,women,none,37.07450163899921,37.87247498007491,z,P_165618,0.7979733410757035
16,labber,none,39.38617300800979,40.20906281005591,m,P_165618,0.8228898020461202
17,millag,none,41.72199360106606,42.62450430903118,m,P_165618,0.9025107079651207
18,boek,HF,44.137904616072774,45.04889671201818,z,P_165618,0.910992095945403
19,goont,none,46.5616763230646,47.441955025075,z,P_165618,0.8802787020104006
