trial_order,trial,cond,start_time,end_time,key,id,reaction_time,RT
0,recht,HF,2.718182364013046,3.8382997749140486,z,P_165435,1.1201174109010026,1120.1174109010026
1,gals,none,5.35265651892405,6.295808573020622,m,P_165435,0.943152054096572,943.152054096572
2,slont,none,7.810418464941904,8.713127112947404,m,P_165435,0.9027086480055004,902.7086480055004
3,baby,HF,10.226432314957492,10.97398448199965,z,P_165435,0.7475521670421585,747.5521670421585
4,boek,HF,12.48662727791816,13.21396309894044,z,P_165435,0.7273358210222796,727.3358210222796
5,imams,LF,14.726606094976889,15.430360959959216,m,P_165435,0.7037548649823293,703.7548649823293
6,goont,none,16.94331866595894,17.694142443011515,m,P_165435,0.7508237770525739,750.8237770525739
7,plan,HF,19.207659745938145,19.84654731594492,z,P_165435,0.6388875700067729,638.8875700067729
8,women,none,21.35949007095769,22.022060912917368,z,P_165435,0.6625708419596776,662.5708419596776
9,buidels,LF,23.540103517007083,24.230132174910977,m,P_165435,0.6900286579038948,690.0286579038948
10,hield,HF,25.74296471499838,26.51144684501924,m,P_165435,0.7684821300208569,768.4821300208569
11,polders,LF,28.025344191933986,28.688923184992746,z,P_165435,0.6635789930587634,663.5789930587634
12,ponten,LF,30.202228317968547,31.08153337496333,z,P_165435,0.8793050569947809,879.3050569947809
13,geslonden,none,32.595859306980856,33.34478662896436,m,P_165435,0.7489273219835013,748.9273219835013
14,giep,none,34.859373690909706,35.646302182925865,m,P_165435,0.786928492016159,786.928492016159
15,labber,none,37.16037293197587,37.92638941796031,z,P_165435,0.7660164859844372,766.0164859844372
16,jugen,none,39.44015996495728,40.25462064391468,z,P_165435,0.8144606789574027,814.4606789574027
17,hese,LF,41.76801685302053,42.63833836396225,z,P_165435,0.8703215109417215,870.3215109417215
18,brum,none,44.15166838094592,44.79829934495501,m,P_165435,0.6466309640090913,646.6309640090913
19,millag,none,46.31155037193093,46.92595388297923,m,P_165435,0.6144035110482946,614.4035110482946
0,plan,HF,2.7328035060781986,3.668817944009788,m,P_165618,0.9360144379315898,936.0144379315898
1,imams,LF,5.182351279072464,5.936878261039965,z,P_165618,0.7545269819675013,754.5269819675013
2,hese,LF,7.450600777985528,8.209015241009183,m,P_165618,0.7584144630236551,758.4144630236551
3,polders,LF,9.722794422064908,10.49712657602504,z,P_165618,0.7743321539601311,774.3321539601311
4,brum,none,12.010234369081443,12.747876067995094,z,P_165618,0.7376416989136487,737.6416989136487
5,ponten,LF,14.264083980000578,15.05640477698762,m,P_165618,0.7923207969870418,792.3207969870418
6,geslonden,none,16.569832239067182,17.352689148043282,m,P_165618,0.7828569089761004,782.8569089761004
7,gals,none,18.865735794068318,19.553098044008948,m,P_165618,0.6873622499406338,687.3622499406338
8,recht,HF,21.06689565605484,21.78523167304229,m,P_165618,0.7183360169874504,718.3360169874504
9,buidels,LF,23.29940732603427,24.00870710599702,z,P_165618,0.7092997799627483,709.2997799627483
10,hield,HF,25.52227868000045,26.36838708398864,z,P_165618,0.8461084039881825,846.1084039881825
11,baby,HF,27.882380953989923,28.61645331606269,m,P_165618,0.7340723620727658,734.0723620727658
12,slont,none,30.1307187450584,30.95257614797447,z,P_165618,0.8218574029160663,821.8574029160663
13,giep,none,32.465605362085626,33.19258000398986,m,P_165618,0.7269746419042349,726.9746419042349
14,jugen,none,34.70592578803189,35.56050870800391,z,P_165618,0.8545829199720174,854.5829199720174
15,women,none,37.07450163899921,37.87247498007491,z,P_165618,0.7979733410757035,797.9733410757035
16,labber,none,39.38617300800979,40.20906281005591,m,P_165618,0.8228898020461202,822.8898020461202
